window,type,crisis_count
0,volcano,17
0,volcano,20
0,volcano,18
0,volcano,5
0,volcano,21
0,volcano,7
0,volcano,12
0,volcano,12
0,volcano,15
0,volcano,17
0,volcano,14
0,volcano,15
0,volcano,16
0,volcano,17
0,volcano,17
0,volcano,19
0,volcano,13
0,volcano,12
0,volcano,11
0,volcano,8
0,volcano,6
0,volcano,7
0,volcano,7
0,volcano,5
0,volcano,0
0,volcano,1
0,volcano,1
0,volcano,1
0,volcano,1
0,volcano,0
0,volcano,2
0,volcano,2
0,random,1
0,random,19
0,random,11
0,random,0
0,random,19
0,random,12
0,random,8
0,random,0
0,random,3
0,random,1
0,random,7
0,random,8
0,random,1
0,random,16
0,random,13
0,random,7
0,random,0
0,random,0
0,random,6
0,random,6
0,random,5
0,random,1
0,random,5
0,random,2
0,random,5
0,random,7
0,random,4
0,random,4
0,random,3
0,random,11
0,random,16
0,random,17
0,random,1
0,random,6
0,random,8
0,random,1
0,random,7
0,random,6
0,random,2
0,random,6
0,random,4
0,random,8
0,random,5
0,random,3
0,random,6
0,random,1
0,random,16
0,random,0
0,random,11
0,random,5
0,random,3
0,random,16
0,random,9
0,random,0
0,random,21
0,random,8
0,random,17
0,random,3
0,random,2
0,random,21
0,random,4
0,random,1
0,random,13
0,random,17
0,random,4
0,random,0
0,random,2
0,random,1
0,random,0
0,random,14
0,random,1
0,random,1
0,random,6
0,random,17
0,random,0
0,random,6
0,random,6
0,random,8
0,random,3
0,random,0
0,random,16
0,random,6
0,random,11
0,random,2
0,random,11
0,random,7
0,random,15
0,random,0
0,random,5
0,random,3
0,random,3
0,random,8
0,random,17
0,random,0
0,random,1
0,random,1
0,random,2
0,random,3
0,random,1
0,random,3
0,random,1
0,random,16
0,random,4
0,random,3
0,random,12
0,random,0
0,random,3
0,random,12
0,random,11
0,random,8
0,random,5
0,random,4
0,random,8
0,random,8
0,random,15
0,random,5
0,random,4
0,random,3
0,random,3
0,random,6
0,random,12
0,random,8
0,random,4
0,random,14
0,random,8
0,random,4
0,random,1
0,random,10
0,random,17
0,random,1
0,random,4
0,random,19
0,random,17
0,random,3
0,random,12
0,random,19
0,random,5
0,random,4
0,random,14
0,random,20
0,random,3
0,random,16
0,random,7
0,random,11
0,random,1
0,random,6
0,random,14
0,random,1
0,random,23
0,random,2
0,random,3
0,random,3
0,random,18
0,random,2
0,random,12
0,random,19
0,random,1
0,random,17
0,random,8
0,random,8
0,random,2
0,random,4
0,random,14
0,random,1
0,random,12
0,random,0
0,random,19
0,random,16
0,random,3
0,random,4
0,random,1
0,random,5
0,random,5
0,random,4
0,random,0
0,random,10
0,random,8
0,random,3
0,random,5
0,random,1
0,random,6
0,random,5
0,random,7
0,random,8
0,random,5
0,random,13
0,random,15
0,random,2
0,random,1
0,random,0
0,random,14
0,random,6
0,random,16
0,random,10
0,random,14
0,random,6
0,random,12
0,random,3
0,random,8
0,random,0
0,random,11
0,random,3
0,random,14
0,random,3
0,random,5
0,random,16
0,random,18
0,random,2
0,random,12
0,random,6
0,random,0
0,random,9
0,random,7
0,random,18
0,random,4
0,random,12
0,random,17
0,random,1
0,random,14
0,random,2
0,random,4
0,random,15
0,random,3
0,random,3
0,random,11
0,random,5
0,random,1
0,random,19
0,random,0
0,random,3
0,random,19
0,random,1
0,random,6
0,random,13
0,random,2
0,random,1
0,random,8
0,random,0
0,random,10
0,random,0
0,random,3
0,random,9
0,random,3
0,random,0
0,random,19
0,random,6
0,random,0
0,random,8
0,random,17
0,random,2
0,random,17
0,random,1
0,random,12
0,random,1
0,random,0
0,random,2
0,random,8
0,random,1
0,random,6
0,random,1
0,random,12
0,random,16
0,random,0
0,random,6
0,random,5
0,random,1
0,random,4
0,random,5
0,random,17
0,random,16
0,random,7
0,random,3
0,random,7
0,random,2
0,random,5
0,random,6
0,random,13
0,random,0
0,random,12
0,random,18
0,random,5
0,random,1
0,random,5
0,random,7
0,random,1
0,random,8
0,random,13
0,random,13
0,random,8
0,random,17
0,random,8
0,random,1
0,random,1
0,random,3
0,random,4
0,random,1
0,random,15
0,random,16
0,random,18
0,random,1
0,random,12
0,random,0
0,random,2
0,random,17
0,random,6
0,random,8
0,random,10
0,random,10
0,random,0
0,random,1
0,random,1
0,random,15
0,random,19
0,random,1
0,random,3
0,random,3
0,random,0
0,random,0
0,random,15
0,random,5
0,random,1
0,random,0
0,random,4
0,random,0
0,random,4
0,random,0
0,random,3
0,random,0
0,random,1
0,random,4
0,random,1
0,random,15
0,random,13
0,random,15
0,random,3
0,random,1
0,random,6
0,random,10
0,random,15
0,random,3
0,random,18
0,random,5
0,random,13
0,random,13
0,random,3
0,random,11
0,random,6
0,random,8
0,random,7
0,random,8
0,random,6
0,random,3
0,random,4
0,random,6
0,random,4
0,random,12
0,random,16
0,random,6
0,random,3
0,random,5
0,random,0
0,random,5
0,random,11
0,random,4
0,random,2
0,random,1
0,random,16
0,random,1
0,random,3
0,random,4
0,random,17
0,random,9
0,random,3
0,random,15
0,random,5
0,random,21
0,random,17
0,random,0
0,random,15
0,random,7
0,random,14
0,random,15
0,random,16
0,random,6
0,random,1
0,random,7
0,random,3
0,random,7
0,random,16
0,random,1
0,random,3
0,random,9
0,random,0
0,random,0
0,random,1
0,random,16
0,random,12
0,random,0
0,random,3
0,random,10
0,random,0
0,random,1
0,random,13
0,random,5
0,random,1
0,random,22
0,random,6
0,random,7
0,random,3
0,random,0
0,random,15
0,random,3
0,random,6
0,random,3
0,random,13
0,random,17
0,random,19
0,random,19
0,random,8
0,random,8
0,random,16
0,random,1
0,random,1
0,random,5
0,random,1
0,random,0
0,random,17
0,random,19
0,random,6
0,random,5
0,random,1
0,random,3
0,random,13
0,random,0
0,random,11
0,random,8
0,random,15
0,random,10
0,random,1
0,random,8
0,random,0
0,random,6
0,random,6
0,random,12
0,random,1
0,random,1
0,random,18
0,random,1
0,random,5
0,random,12
0,random,13
0,random,3
0,random,1
0,random,6
0,random,8
0,random,3
0,random,3
0,random,12
0,random,7
0,random,15
0,random,6
0,random,5
0,random,5
0,random,1
0,random,3
0,random,1
0,random,21
0,random,5
0,random,0
0,random,5
0,random,11
0,random,23
0,random,5
0,random,8
0,random,9
0,random,16
0,random,1
0,random,14
0,random,13
0,random,16
0,random,14
0,random,3
0,random,15
0,random,0
0,random,0
0,random,1
0,random,6
0,random,5
0,random,9
0,random,4
0,random,19
0,random,1
0,random,3
0,random,3
0,random,19
0,random,0
0,random,1
0,random,0
0,random,6
0,random,15
0,random,5
0,random,17
0,random,8
0,random,11
0,random,21
0,random,5
0,random,4
0,random,18
0,random,4
0,random,15
0,random,23
0,random,14
0,random,6
0,random,15
0,random,12
0,random,8
0,random,0
0,random,5
0,random,3
0,random,4
0,random,1
0,random,7
0,random,1
0,random,0
0,random,16
0,random,15
0,random,5
0,random,1
0,random,3
0,random,13
0,random,18
0,random,5
0,random,3
0,random,1
0,random,8
0,random,3
0,random,12
0,random,2
0,random,5
0,random,4
0,random,0
0,random,4
0,random,0
0,random,0
0,random,5
0,random,10
0,random,7
0,random,2
0,random,16
0,random,18
0,random,15
0,random,3
0,random,6
0,random,1
0,random,1
0,random,0
0,random,4
0,random,2
0,random,3
0,random,4
0,random,15
0,random,5
0,random,17
0,random,6
0,random,15
0,random,1
0,random,5
0,random,7
0,random,17
0,random,3
0,random,2
0,random,1
0,random,7
0,random,1
0,random,17
0,random,19
0,random,4
0,random,0
0,random,2
0,random,0
0,random,7
0,random,5
0,random,5
0,random,15
0,random,11
0,random,4
0,random,16
0,random,6
0,random,6
0,random,5
0,random,5
0,random,6
0,random,5
0,random,5
0,random,19
0,random,15
0,random,5
0,random,12
0,random,6
0,random,6
0,random,0
0,random,23
0,random,4
0,random,14
0,random,7
0,random,17
0,random,6
0,random,21
0,random,18
0,random,14
0,random,18
0,random,13
0,random,4
0,random,1
0,random,19
0,random,1
0,random,8
0,random,2
0,random,2
0,random,12
0,random,4
0,random,12
0,random,1
0,random,16
0,random,1
0,random,5
0,random,16
0,random,10
0,random,19
0,random,1
0,random,7
0,random,11
0,random,6
0,random,5
0,random,4
0,random,6
0,random,8
0,random,7
0,random,17
0,random,5
0,random,16
0,random,15
0,random,6
0,random,4
0,random,3
0,random,2
0,random,1
0,random,0
0,random,1
0,random,13
0,random,6
0,random,11
0,random,1
0,random,3
0,random,1
0,random,3
0,random,3
0,random,13
0,random,4
0,random,11
0,random,7
0,random,1
0,random,0
0,random,4
0,random,4
0,random,0
0,random,14
0,random,11
0,random,3
0,random,0
0,random,2
0,random,6
0,random,1
0,random,6
0,random,17
0,random,3
0,random,16
0,random,6
0,random,8
0,random,5
0,random,4
0,random,18
0,random,4
0,random,7
0,random,1
0,random,18
0,random,20
0,random,4
0,random,4
0,random,7
0,random,8
0,random,3
0,random,3
0,random,6
0,random,17
0,random,18
0,random,8
0,random,16
0,random,4
0,random,1
0,random,2
0,random,6
0,random,0
0,random,18
0,random,6
0,random,1
0,random,0
0,random,0
0,random,17
0,random,0
0,random,1
0,random,0
0,random,8
0,random,6
0,random,18
0,random,0
0,random,2
0,random,0
0,random,5
0,random,1
0,random,2
0,random,17
0,random,6
0,random,10
0,random,3
0,random,5
0,random,4
0,random,17
0,random,6
0,random,17
0,random,1
0,random,6
0,random,0
0,random,2
0,random,3
0,random,9
0,random,6
0,random,15
0,random,3
0,random,2
0,random,5
0,random,7
0,random,4
0,random,4
0,random,4
0,random,7
0,random,6
0,random,21
0,random,15
0,random,0
0,random,3
0,random,14
0,random,2
0,random,5
0,random,4
0,random,1
0,random,16
0,random,8
0,random,3
0,random,6
0,random,16
0,random,7
0,random,14
0,random,17
0,random,1
0,random,4
0,random,4
0,random,7
0,random,0
0,random,8
0,random,18
0,random,1
0,random,0
0,random,6
