window_years,volcano_mean,volcano_std,volcano_median,volcano_n,random_mean,random_std,random_median,random_percentile_5,random_percentile_95,cohen_d,t_test_pvalue,mann_whitney_pvalue,permutation_pvalue
0,9.96875,6.696474702222058,11.5,32,7.2042,6.095744610792023,6.0,0.0,18.0,0.4533764221209968,0.010472421450962013,0.02393188264799498,0.014998500149985002
10,10.5,7.110731326663946,12.0,32,7.5799,6.419814326754318,6.0,0.0,19.0,0.4546980336739244,0.010249855555732722,0.025176044228209654,0.012398760123987601
20,10.875,7.313301238155037,12.0,32,7.9672,6.758514937469622,6.0,0.0,20.0,0.4301288549251005,0.015156737941246721,0.03489807197449674,0.017598240175982403
30,11.21875,7.6392668782743804,12.0,32,8.3459,7.0725987578824245,6.0,0.0,21.0,0.4060898219190116,0.021852669002010758,0.042004979477901216,0.028597140285971403
40,11.65625,7.971078091293548,12.0,32,8.7081,7.382065726475212,6.0,0.0,22.0,0.39926415685389893,0.02417171089450028,0.045060971609138,0.028997100289971003
50,12.3125,8.334557201795425,13.0,32,9.0694,7.699972963588898,7.0,0.0,23.0,0.42107163739168724,0.017431041050529037,0.03527648263025106,0.020597940205979402
60,12.875,8.880280119455692,13.0,32,9.41,7.994241677607701,7.0,1.0,24.0,0.4332803624534797,0.014429346763288897,0.033319784244378314,0.0197980201979802
70,13.34375,9.088486449211441,13.0,32,9.7728,8.311184040797075,8.0,1.0,25.0,0.4295260440703629,0.015299680652525679,0.029880250402651583,0.019598040195980403
80,13.6875,9.368956385318484,13.0,32,10.1358,8.61180343249891,8.0,1.0,26.0,0.41230537800549677,0.019911957722449938,0.039730745608536726,0.024397560243975602
90,13.96875,9.563878577099356,13.5,32,10.4971,8.912473932079688,8.0,1.0,26.0,0.3894359087754025,0.027884306464019876,0.050732031719161075,0.03519648035196481
100,14.15625,9.70859598178336,14.0,32,10.8445,9.213409778686716,8.0,1.0,28.0,0.35938760012467585,0.04242917660088419,0.07198404042952045,0.0453954604539546
